단어,길이,초성
간,1,ㄱ
감,1,ㄱ
갑,1,ㄱ
값,1,ㄱ
강,1,ㄱ
개,1,ㄱ
걔,1,ㄱ
거,1,ㄱ
건,1,ㄱ
겁,1,ㄱ
것,1,ㄱ
겉,1,ㄱ
게,1,ㄱ
곁,1,ㄱ
곡,1,ㄱ
곧,1,ㄱ
골,1,ㄱ
곰,1,ㄱ
곳,1,ㄱ
공,1,ㄱ
과,1,ㄱ
구,1,ㄱ
국,1,ㄱ
군,1,ㄱ
권,1,ㄱ
귀,1,ㄱ
귤,1,ㄱ
그,1,ㄱ
극,1,ㄱ
글,1,ㄱ
금,1,ㄱ
급,1,ㄱ
기,1,ㄱ
길,1,ㄱ
김,1,ㄱ
껌,1,ㄲ
꼭,1,ㄲ
꼴,1,ㄲ
꽃,1,ㄲ
꽉,1,ㄲ
꽤,1,ㄲ
꿀,1,ㄲ
꿈,1,ㄲ
끈,1,ㄲ
끝,1,ㄲ
끼,1,ㄲ
나,1,ㄴ
날,1,ㄴ
남,1,ㄴ
낮,1,ㄴ
내,1,ㄴ
너,1,ㄴ
넉,1,ㄴ
네,1,ㄴ
넷,1,ㄴ
년,1,ㄴ
논,1,ㄴ
놈,1,ㄴ
뇌,1,ㄴ
눈,1,ㄴ
늘,1,ㄴ
다,1,ㄷ
단,1,ㄷ
달,1,ㄷ
닭,1,ㄷ
담,1,ㄷ
답,1,ㄷ
대,1,ㄷ
댁,1,ㄷ
댐,1,ㄷ
더,1,ㄷ
덕,1,ㄷ
덜,1,ㄷ
데,1,ㄷ
도,1,ㄷ
돈,1,ㄷ
돌,1,ㄷ
동,1,ㄷ
두,1,ㄷ
둘,1,ㄷ
뒤,1,ㄷ
들,1,ㄷ
듯,1,ㄷ
등,1,ㄷ
딱,1,ㄸ
딴,1,ㄸ
딸,1,ㄸ
땀,1,ㄸ
땅,1,ㄸ
때,1,ㄸ
땜,1,ㄸ
떡,1,ㄸ
떼,1,ㄸ
또,1,ㄸ
뜰,1,ㄸ
뜻,1,ㄸ
리,1,ㄹ
막,1,ㅁ
만,1,ㅁ
말,1,ㅁ
맘,1,ㅁ
맛,1,ㅁ
매,1,ㅁ
맨,1,ㅁ
멋,1,ㅁ
면,1,ㅁ
명,1,ㅁ
몇,1,ㅁ
모,1,ㅁ
목,1,ㅁ
몸,1,ㅁ
못,1,ㅁ
무,1,ㅁ
문,1,ㅁ
물,1,ㅁ
뭐,1,ㅁ
뭘,1,ㅁ
뭣,1,ㅁ
미,1,ㅁ
및,1,ㅁ
밑,1,ㅁ
바,1,ㅂ
박,1,ㅂ
밖,1,ㅂ
반,1,ㅂ
발,1,ㅂ
밤,1,ㅂ
밥,1,ㅂ
방,1,ㅂ
밭,1,ㅂ
배,1,ㅂ
백,1,ㅂ
뱀,1,ㅂ
번,1,ㅂ
벌,1,ㅂ
법,1,ㅂ
벼,1,ㅂ
벽,1,ㅂ
별,1,ㅂ
병,1,ㅂ
복,1,ㅂ
본,1,ㅂ
볼,1,ㅂ
봄,1,ㅂ
부,1,ㅂ
북,1,ㅂ
분,1,ㅂ
불,1,ㅂ
비,1,ㅂ
빗,1,ㅂ
빚,1,ㅂ
빛,1,ㅂ
빵,1,ㅃ
뺨,1,ㅃ
뼈,1,ㅃ
뿐,1,ㅃ
사,1,ㅅ
산,1,ㅅ
살,1,ㅅ
삶,1,ㅅ
삼,1,ㅅ
상,1,ㅅ
새,1,ㅅ
색,1,ㅅ
생,1,ㅅ
석,1,ㅅ
선,1,ㅅ
섬,1,ㅅ
성,1,ㅅ
세,1,ㅅ
셈,1,ㅅ
셋,1,ㅅ
소,1,ㅅ
속,1,ㅅ
